-2.7059988120 -2.7059988120 -0.001139 0.002080 0.012824 -0.000819 -0.001178 -0.033106 0.061411 -0.028854 -0.000852 0.001266 0.009460 0.172929 0.059275 0.012607 -0.001131 -0.001687 0.002948 0.009878 -0.032904 0.002250 0.001544 0.001236 0.002948 -0.001660 0.000194 -0.000318 -0.001442 0.000518 0.001277 0.001284 -0.001259 0.000619 -0.001451 0.001587 -0.001178 -0.001249 -0.000238 0.002080 0.000191
-2.7059988120 -2.6157988516 -0.001147 0.004608 0.011427 -0.000882 -0.001291 -0.033194 0.063329 -0.030465 -0.000645 0.001374 0.010847 0.149891 0.077283 0.012806 -0.001189 -0.001573 0.002787 0.008542 -0.034242 0.003714 0.001950 0.001298 0.002787 -0.001672 0.000178 -0.000145 -0.001573 0.000597 0.001120 0.001208 -0.001359 0.000671 -0.001438 0.001747 -0.001291 -0.001338 -0.000490 0.004608 0.000150
-2.7059988120 -2.5255988912 -0.001227 0.006834 0.009727 -0.000864 -0.001330 -0.032883 0.064353 -0.031704 -0.000392 0.001422 0.011875 0.127561 0.096818 0.012684 -0.001311 -0.001477 0.002611 0.007169 -0.035007 0.005104 0.002252 0.001343 0.002611 -0.001676 0.000075 -0.000060 -0.001634 0.000761 0.000983 0.001069 -0.001398 0.000841 -0.001352 0.001806 -0.001330 -0.001350 -0.000708 0.006834 -0.000047
-2.7059988120 -2.4353989308 -0.001313 0.008873 0.007787 -0.000776 -0.001349 -0.032160 0.064547 -0.032603 -0.000149 0.001431 0.012515 0.106162 0.117704 0.012213 -0.001428 -0.001366 0.002375 0.005751 -0.035151 0.006527 0.002511 0.001351 0.002375 -0.001654 -0.000020 0.000031 -0.001670 0.000917 0.000833 0.000915 -0.001406 0.001000 -0.001266 0.001816 -0.001349 -0.001341 -0.000834 0.008873 -0.000279
-2.7059988120 -2.3451989704 -0.001399 0.010686 0.005640 -0.000601 -0.001347 -0.031069 0.063900 -0.033108 0.000066 0.001401 0.012792 0.085985 0.139652 0.011364 -0.001532 -0.001245 0.002091 0.004339 -0.034667 0.007928 0.002715 0.001323 0.002091 -0.001604 -0.000107 0.000130 -0.001678 0.001060 0.000672 0.000749 -0.001381 0.001147 -0.001183 0.001779 -0.001347 -0.001311 -0.000882 0.010686 -0.000530
-2.7059988120 -2.2549990100 -0.001484 0.012242 0.003331 -0.000328 -0.001321 -0.029663 0.062422 -0.033171 0.000236 0.001333 0.012739 0.067276 0.162337 0.010118 -0.001617 -0.001122 0.001772 0.002986 -0.033569 0.009251 0.002854 0.001257 0.001772 -0.001529 -0.000188 0.000239 -0.001657 0.001187 0.000504 0.000576 -0.001324 0.001276 -0.001106 0.001696 -0.001321 -0.001263 -0.000866 0.012242 -0.000781
-2.7059988120 -2.1647990496 -0.001486 0.013477 0.000747 -0.000004 -0.001214 -0.027913 0.060090 -0.032822 0.000237 0.001208 0.012382 0.050241 0.185641 0.008505 -0.001716 -0.001065 0.001362 0.001583 -0.031916 0.010506 0.002972 0.001177 0.001362 -0.001381 -0.000354 0.000259 -0.001629 0.001334 0.000422 0.000524 -0.001207 0.001339 -0.001101 0.001519 -0.001214 -0.001142 -0.000782 0.013477 -0.000981
-2.7059988120 -2.0745990892 -0.001553 0.014443 -0.001720 0.000516 -0.001137 -0.026040 0.057052 -0.031860 0.000264 0.001078 0.011782 0.035059 0.208709 0.006449 -0.001738 -0.000952 0.001019 0.000488 -0.029674 0.011503 0.002957 0.001042 0.001019 -0.001258 -0.000418 0.000395 -0.001551 0.001421 0.000246 0.000345 -0.001096 0.001417 -0.001041 0.001357 -0.001137 -0.001064 -0.000688 0.014443 -0.001195
-2.7059988120 -1.9843991288 -0.001607 0.015103 -0.004176 0.001167 -0.001040 -0.023996 0.053282 -0.030309 0.000194 0.000918 0.010977 0.021769 0.231241 0.004022 -0.001707 -0.000850 0.000681 -0.000432 -0.026941 0.012240 0.002855 0.000880 0.000681 -0.001106 -0.000466 0.000544 -0.001454 0.001481 0.000073 0.000168 -0.000955 0.001470 -0.000993 0.001155 -0.001040 -0.000979 -0.000572 0.015103 -0.001374
-2.7059988120 -1.8941991684 -0.001643 0.015457 -0.006556 0.001955 -0.000925 -0.021837 0.048845 -0.028144 0.000008 0.000731 0.010018 0.010427 0.252764 0.001277 -0.001612 -0.000760 0.000363 -0.001154 -0.023797 0.012662 0.002662 0.000697 0.000363 -0.000930 -0.000498 0.000702 -0.001344 0.001509 -0.000093 -0.000001 -0.000789 0.001497 -0.000955 0.000920 -0.000925 -0.000889 -0.000448 0.015457 -0.001508
