Tight binding Hamiltonian for Twisted bilayer graphene in twist angle = 3.48 degree, written on Wed Dec 21 18:27:04 2022
         1086
         9
    1    1    1    1    1    1    1    1    1
   -1   -1    0      0    271     0.226100    0
   -1   -1    0    543    271    -0.009988    0
   -1   -1    0      0    542    -2.931400    0
   -1   -1    0    543    542     0.048147    0
   -1   -1    0      0    813    -0.010732    0
   -1   -1    0    543    813     0.226100    0
   -1   -1    0    815    814    -2.931400    0
   -1    0    0      0    179     0.226100    0
   -1    0    0      0    193     0.226100    0
   -1    0    0      1    193     0.226100    0
   -1    0    0    815    193     0.028095    0
   -1    0    0      1    207     0.226100    0
   -1    0    0      3    207     0.226100    0
   -1    0    0      4    207     0.226100    0
   -1    0    0    273    207    -2.931400    0
   -1    0    0    545    207     0.395983    0
   -1    0    0    816    207    -0.007504    0
   -1    0    0    817    207     0.053093    0
   -1    0    0      4    208     0.226100    0
   -1    0    0    817    208    -0.022075    0
   -1    0    0      4    220     0.226100    0
   -1    0    0      7    220     0.226100    0
   -1    0    0      8    220     0.226100    0
   -1    0    0    276    220    -2.931400    0
   -1    0    0    548    220     0.345580    0
   -1    0    0    820    220    -0.047718    0
   -1    0    0    821    220     0.060990    0
   -1    0    0      8    221     0.226100    0
   -1    0    0    821    221    -0.054830    0
   -1    0    0      8    232     0.226100    0
   -1    0    0     13    232     0.226100    0
   -1    0    0     14    232     0.226100    0
   -1    0    0    281    232    -2.931400    0
   -1    0    0    553    232     0.282770    0
   -1    0    0    825    232    -0.070158    0
   -1    0    0    826    232     0.068364    0
   -1    0    0     14    233     0.226100    0
   -1    0    0     14    242     0.226100    0
   -1    0    0     20    242     0.226100    0
   -1    0    0     21    242     0.226100    0
   -1    0    0    287    242    -2.931400    0
   -1    0    0    559    242     0.205655    0
   -1    0    0    833    242     0.071528    0
   -1    0    0     21    243     0.226100    0
   -1    0    0     21    251     0.226100    0
   -1    0    0     29    251     0.226100    0
   -1    0    0     30    251     0.226100    0
   -1    0    0    295    251    -2.931400    0
   -1    0    0    567    251     0.130961    0
   -1    0    0    841    251     0.070991    0
   -1    0    0     30    252     0.226100    0
   -1    0    0     30    258     0.226100    0
   -1    0    0     39    258     0.226100    0
   -1    0    0     40    258     0.226100    0
   -1    0    0    304    258    -2.931400    0
   -1    0    0    576    258     0.069759    0
   -1    0    0    851    258     0.065695    0
   -1    0    0     40    259     0.226100    0
   -1    0    0     40    264     0.226100    0
   -1    0    0     51    264     0.226100    0
   -1    0    0     52    264     0.226100    0
   -1    0    0    315    264    -2.931400    0
   -1    0    0    587    264     0.025122    0
   -1    0    0     52    265     0.226100    0
   -1    0    0     52    268     0.226100    0
   -1    0    0     64    268     0.226100    0
   -1    0    0     65    268     0.226100    0
   -1    0    0    327    268    -2.931400    0
   -1    0    0    599    268    -0.001067    0
   -1    0    0     65    269     0.226100    0
   -1    0    0     65    271     0.226100    0
   -1    0    0     79    271     0.226100    0
   -1    0    0     80    271     0.226100    0
   -1    0    0    341    271    -2.931400    0
   -1    0    0    613    271    -0.010289    0
   -1    0    0      0    468    -2.931400    0
   -1    0    0      1    468    -2.931400    0
   -1    0    0    272    468     0.226100    0
   -1    0    0    273    468     0.226100    0
   -1    0    0    543    468     0.048154    0
   -1    0    0    544    468     0.030040    0
   -1    0    0    815    468     0.408720    0
   -1    0    0    273    469     0.226100    0
   -1    0    0    545    469    -0.005562    0
   -1    0    0      4    482    -2.931400    0
   -1    0    0    273    482     0.226100    0
   -1    0    0    275    482     0.226100    0
   -1    0    0    276    482     0.226100    0
   -1    0    0    545    482     0.049143    0
   -1    0    0    547    482    -0.017156    0
   -1    0    0    817    482     0.378718    0
   -1    0    0    276    483     0.226100    0
   -1    0    0    548    483    -0.042802    0
   -1    0    0      8    495    -2.931400    0
   -1    0    0    276    495     0.226100    0
   -1    0    0    280    495     0.226100    0
   -1    0    0    281    495     0.226100    0
   -1    0    0    548    495     0.050798    0
   -1    0    0    552    495    -0.047215    0
   -1    0    0    821    495     0.325945    0
   -1    0    0    281    496     0.226100    0
   -1    0    0    553    496    -0.062808    0
   -1    0    0     14    506    -2.931400    0
   -1    0    0    281    506     0.226100    0
   -1    0    0    286    506     0.226100    0
   -1    0    0    287    506     0.226100    0
   -1    0    0    553    506     0.056351    0
   -1    0    0    826    506     0.258037    0
   -1    0    0    287    507     0.226100    0
   -1    0    0     21    516    -2.931400    0
   -1    0    0    287    516     0.226100    0
   -1    0    0    294    516     0.226100    0
   -1    0    0    295    516     0.226100    0
   -1    0    0    559    516     0.060068    0
   -1    0    0    833    516     0.179858    0
   -1    0    0    295    517     0.226100    0
   -1    0    0     30    524    -2.931400    0
   -1    0    0    295    524     0.226100    0
   -1    0    0    303    524     0.226100    0
   -1    0    0    304    524     0.226100    0
   -1    0    0    567    524     0.061320    0
   -1    0    0    841    524     0.108877    0
   -1    0    0    304    525     0.226100    0
   -1    0    0     40    531    -2.931400    0
   -1    0    0    304    531     0.226100    0
   -1    0    0    314    531     0.226100    0
   -1    0    0    315    531     0.226100    0
   -1    0    0    576    531     0.058900    0
   -1    0    0    851    531     0.053026    0
   -1    0    0    315    532     0.226100    0
   -1    0    0     52    536    -2.931400    0
   -1    0    0    315    536     0.226100    0
   -1    0    0    326    536     0.226100    0
   -1    0    0    327    536     0.226100    0
   -1    0    0    862    536     0.014532    0
   -1    0    0    327    537     0.226100    0
   -1    0    0     65    540    -2.931400    0
   -1    0    0    327    540     0.226100    0
   -1    0    0    340    540     0.226100    0
   -1    0    0    341    540     0.226100    0
